ID,Is_Lead
VBENBARO,0.023734860374706408
CCMEWNKY,0.8953628728434526
VK3KGA9M,0.031157155480214298
TT8RPZVC,0.011693821927821103
SHQZEYTZ,0.013091357249936448
MZZAQMPT,0.3003365869326972
Y88TW36I,0.12510686148394493
3UGOAQNU,0.026882318648451805
VVUKMUJT,0.9767709009745267
9R363ZXS,0.2061640818655388
BLISM6JE,0.024940607010877965
CH8S7JK7,0.3674698583448458
EAHDPXEJ,0.8553389041453292
BNUK9PRF,0.38102303544530725
GP2PG6FJ,0.025782638409879363
WNQCSN8A,0.02506924811014237
32DN4YVZ,0.4073107540984887
GXAMDANM,0.02850445044889597
MXETLUP4,0.12644321771157563
MPXK6TVE,0.9011595317057816
LBSIME2K,0.1633781008799988
D6ORJTM6,0.025569736878022026
HGDIBAKA,0.860411778069378
UUZYL9DZ,0.6217357226041698
AUGE3VWK,0.02574717720375962
MX7GOX6Q,0.08745221209598003
TQN6K35W,0.06438520701550679
QQDRMQQN,0.5957208040392081
UP6GC6F4,0.03453113449622562
BMHBUVHB,0.6241190363706177
KGLDW86A,0.18797310729974312
FQEOMOP4,0.0619284741519938
DYWM5MEU,0.43350575542665143
DXHGXV8F,0.03007214888826942
AVFBFQKC,0.3269336833290333
DBIDKYMV,0.2886013464840558
KYZHMEBY,0.28076961988997
SSFEBUGF,0.02678732063405727
MGJTAG8X,0.6318029548900826
MP6BERDO,0.08375263826812623
GXZ8ED68,0.026485843571662945
ICTFGWQR,0.7940541606838643
EAYHTRKH,0.01329890387464364
6FN97QLQ,0.05961807330667769
3H5MZDDW,0.31548841657933513
2DXZZWSN,0.02316638558239356
MM4QIRE5,0.10654196824852846
HJWVYXUA,0.10427920284513029
RBRSJUP3,0.904265543312601
YFRQKGXW,0.646628975275176
N3SADEBV,0.09588938640982203
G2A2YYXY,0.020865827185406523
XMGA3WT3,0.04694632507166342
KVZQPSGI,0.19590113358014055
UAKARBBG,0.02684341753693713
WYKKL85Z,0.12281165076146408
GHNYYGRR,0.051700750683389654
UBAJANWT,0.026852145867369517
LSARSF7U,0.009980011669392734
4CNSJVVR,0.35847937343410674
JRHJSWYO,0.18896361199684475
FHZ8SVVI,0.08276501805511893
JUIRE47M,0.5209939458757538
GDIVN2GL,0.14190473722368993
WMF3DYE3,0.9019663015050879
MAQEHEWK,0.28304918199150936
2W8DLKFU,0.028035934137724376
AKGRML6H,0.059808108119630866
B7WUUGCY,0.03375357615119805
TLJOYATM,0.5132900377776315
UH6ZDM3W,0.6481298169182869
7IP5SSRR,0.8819102316794252
PV85PMEB,0.6398818645079251
FGDOY4NI,0.0773957175219887
7YYIXJQE,0.07519578867370857
BHW42XPW,0.1935900956093165
3PKEEAT4,0.44917265830325614
ACFPZ3LM,0.026923069621092508
6GORGNYN,0.8712288838228892
AEPQTMJK,0.40683070938819754
S6FNZFKK,0.028087449093111106
JTYNEKRQ,0.8164208275846987
GPXDPHHC,0.2018035859144348
O8TMKNNB,0.16758934031516362
XSQVHKYG,0.028850585092729055
MJ3CZRAE,0.014195950804541075
3NSQEYBJ,0.6242298283764851
SXVBASGH,0.026107047773536646
5ZIGZYSS,0.07947281594118305
FQSHBCUT,0.5331919122365822
MU45XUBP,0.09436557535277695
BVULDPBI,0.059444829284665636
82GRNPFG,0.8990381149758147
KKBNELBF,0.02313281775026805
HXQGBDGY,0.019031310180244898
28HDZICG,0.6922000179646426
GHBPKPJC,0.02673457052580201
FDWZFSSC,0.8902969013551295
FWTIWZF3,0.026872678866687132
JYMHVPMY,0.041028706959123015
AHUDO2T6,0.8925210429497172
ACDHABS3,0.3846644773383269
5NTYJJDV,0.18186140909495763
2M4VPY4V,0.1846434786343176
KAHP9XLF,0.09358945422357637
YRLEWZFQ,0.1702638452769741
JZWVLXHJ,0.1043378119376221
JZZSXUKT,0.5434941140457634
93RURE2J,0.8209223003382382
4RNB6FDV,0.41497076949495243
27E7HMMG,0.04735622306694345
2QEFQQWN,0.02404139337463098
DDTCD2XI,0.10407505290010265
VGVEYSEG,0.8964560550572772
WCXVE7RK,0.06447060149915271
RTN4R3UE,0.02222001495190002
K2PVS4RB,0.023999668238074996
Q36J686Z,0.06480075054621534
NWKHMEOF,0.19980023933036528
PVJYQQGT,0.39014154167062953
GPUMRNWC,0.027219619652086673
LXHCDSVH,0.34816870674234374
BNIUPSVK,0.16819389626928388
FW3QI3WW,0.09277385312444972
IEEUGXMY,0.47099919169764176
FVVXDLBO,0.028955568846657793
UC2JJB6Y,0.12377479756927767
3WPAHP52,0.6805843714659107
HDTCJJOE,0.7421987100117595
UCSB9GKK,0.06252497808314604
HANBFYTH,0.06382546035228069
FLUU2HNV,0.027541880881466814
64PIYWDJ,0.11630564540138678
9AHNH8ZX,0.8619976938337792
KLHUI2SE,0.22335925937958853
YRHYUJFW,0.9099956541373573
G5RWWH7F,0.15365411708740645
SCBT9BAX,0.010175281798415727
UGZGLVNB,0.250550803742778
2RRNUFBV,0.92169819634222
B6O59TEY,0.6794223753400053
CYHRRYH6,0.1280733280316682
GGYZVHWU,0.12622754968855426
K6AM97RN,0.06823053332406795
ATM5JQYM,0.1191878001908127
7GYZSGWA,0.025283872697281436
DFWUDQCR,0.28019864814869644
E2Z98CR3,0.7915287273708338
GD9KTSLY,0.027045520579914897
2AMRA4OD,0.04811359123404636
CFHZ3ZE6,0.5518090109596977
BOMLVM5K,0.02956822933296381
OBBEGBSY,0.5460581762775283
FJEHOK8W,0.02474102688889152
3GMAEVPJ,0.05343715685517893
WAVDLUTH,0.02828666241956349
6EN8GZX6,0.137000960551902
VXGA3GKB,0.12448126781290031
U4MZ3U8C,0.6510648597740798
GU4RDP8S,0.8297690426777595
N3TPNHCD,0.050990481641655774
JRRHWQC8,0.5944243235730089
NZ5GBHZK,0.044723644441442834
LCUC2LAJ,0.9080044548797128
DJDSU9D2,0.615182495515269
647K6DBR,0.03292215594758717
7NFXVESK,0.06344404690354136
EWUWF25N,0.029701086887044408
7QKYPLA8,0.03538284505683316
XQVXWBNO,0.028741148389870737
CNWH4MVA,0.028338688806599004
AFJUJFQD,0.10807742920093116
QKMFDX9H,0.23712756902346604
YYMB5QBY,0.0775851168001868
IRY3SEX7,0.2545292944974179
CUAUZJH8,0.3172718193141959
JYFUYQF5,0.5888152869313884
I4NYEDFE,0.5388120691874777
M3RSPRGQ,0.36229438294188
JIL3KWQN,0.25724622732141533
X4B5ZBWU,0.38129497733231876
AHYTHHSE,0.02718018550461025
E7EHQEQK,0.2602135551108652
FAMHAVN3,0.9067816186534332
CCGKCTR6,0.07825083070545659
6DTSELRV,0.049227286286491506
LU8X3G6O,0.21165078268665083
NPFDAUJY,0.02739864374035794
DR9PXCFU,0.014024765992521403
SHVZMWBV,0.04668938106657971
8TGXGZHX,0.1837358151399291
IKRSHJFW,0.43073921718416885
TYKRZDCP,0.5336328133496981
9IDA3L7P,0.155021121727771
ASOWCMDB,0.030504556575847105
KZ5J2JGC,0.908118621829517
D5UCFKTV,0.03001235967682343
2N8FFP7W,0.025122563944833788
SA36MTFS,0.019089529106590543
8UDMURUH,0.06654995351958944
7VSQV6QN,0.1285121053375321
IFUG9NC5,0.027051809895352108
EQXDLQRG,0.15150252526114488
JAR8YY9J,0.056914569595705275
BS4TAF6M,0.027127672326412857
WQJ9SPT9,0.8250883052525144
7QHT4ON2,0.09286840376727898
FNGPQN7B,0.17576755109433645
DDOMDZRU,0.6030456806923223
QYR9HXHP,0.2604325248201358
S4NGXFXY,0.009903553112884945
NOJ2KSCC,0.9202790811235811
ZD2JRUNB,0.5809608412381155
GZIPTSNN,0.039533837023882114
LCFYUVE9,0.9091429414133188
PPANVU9W,0.025998046491580523
DRPV9STB,0.0486990479188309
AFSPF3WZ,0.8522677940778765
GPXEUNND,0.8902566830273817
